?concept	?predicat	?object
<https://spec.edmcouncil.org/fibo/FND/vocabulary#hasValue>	<http://www.w3.org/2004/02/skos/core#definition>	"The amount of whatever this is a quantity of."
<https://spec.edmcouncil.org/fibo/FND/vocabulary#hasValue>	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/FND/AboutFND/FNDSpecification>
<https://spec.edmcouncil.org/fibo/FND/vocabulary#hasValue>	<http://www.w3.org/2000/01/rdf-schema#subPropertyOf>	<http://www.w3.org/2004/02/skos/core#related>
<https://spec.edmcouncil.org/fibo/FND/vocabulary#hasValue>	<http://www.w3.org/2000/01/rdf-schema#label>	"has value"@en
<https://spec.edmcouncil.org/fibo/FND/vocabulary#hasValue>	<http://www.w3.org/2000/01/rdf-schema#isDefinedBy>	<https://spec.edmcouncil.org/fibo/ontology/FND/MathExt/Amounts/hasValue>
<https://spec.edmcouncil.org/fibo/FND/vocabulary#hasValue>	<http://www.w3.org/2000/01/rdf-schema#isDefinedBy>	<https://spec.edmcouncil.org/fibo/ontology/FND/MathExt/Math/hasValue>
<https://spec.edmcouncil.org/fibo/FND/vocabulary#hasValue>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#ObjectProperty>
<https://spec.edmcouncil.org/fibo/MD/vocabulary#hasInterestRate>	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/MD/AboutMD/MDSpecification>
<https://spec.edmcouncil.org/fibo/MD/vocabulary#hasInterestRate>	<http://www.w3.org/2000/01/rdf-schema#subPropertyOf>	<http://www.w3.org/2004/02/skos/core#related>
<https://spec.edmcouncil.org/fibo/MD/vocabulary#hasInterestRate>	<http://www.w3.org/2000/01/rdf-schema#label>	"has interest rate"@en
<https://spec.edmcouncil.org/fibo/MD/vocabulary#hasInterestRate>	<http://www.w3.org/2000/01/rdf-schema#isDefinedBy>	<https://spec.edmcouncil.org/fibo/ontology/MD/DebtTemporal/DebtPricingYields/hasInterestRate>
<https://spec.edmcouncil.org/fibo/MD/vocabulary#hasInterestRate>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#ObjectProperty>
<https://spec.edmcouncil.org/fibo/FND/vocabulary#obligedTo>	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/FND/AboutFND/FNDSpecification>
<https://spec.edmcouncil.org/fibo/FND/vocabulary#obligedTo>	<http://www.w3.org/2000/01/rdf-schema#subPropertyOf>	<http://www.w3.org/2004/02/skos/core#related>
<https://spec.edmcouncil.org/fibo/FND/vocabulary#obligedTo>	<http://www.w3.org/2000/01/rdf-schema#label>	"obliged to"@en
<https://spec.edmcouncil.org/fibo/FND/vocabulary#obligedTo>	<http://www.w3.org/2000/01/rdf-schema#isDefinedBy>	<https://spec.edmcouncil.org/fibo/ontology/FND/SocialConstructsExt/LegalConstructParties/obligedTo>
<https://spec.edmcouncil.org/fibo/FND/vocabulary#obligedTo>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#ObjectProperty>
<https://spec.edmcouncil.org/fibo/FND/vocabulary#recognizedBy>	<http://www.w3.org/2004/02/skos/core#editorialNote>	"Work in progress: relationship between Country and ISO Country (which is a sub-class of Country). when a country first exists, it is recognized by some country - otherwise it's dubious to call it a country. Only once the UN recognizes a country e.g. South Sudan, it is on the road to becoming an ISO Country (via first being a UN-FAO Territory). Then disputed territories (a UN-FAO term), are recognized by some and not others, e..g Kosovo."
<https://spec.edmcouncil.org/fibo/FND/vocabulary#recognizedBy>	<http://www.w3.org/2004/02/skos/core#definition>	"Countries which recognize the existence of the Country."
<https://spec.edmcouncil.org/fibo/FND/vocabulary#recognizedBy>	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/FND/AboutFND/FNDSpecification>
<https://spec.edmcouncil.org/fibo/FND/vocabulary#recognizedBy>	<http://www.w3.org/2000/01/rdf-schema#subPropertyOf>	<http://www.w3.org/2004/02/skos/core#related>
<https://spec.edmcouncil.org/fibo/FND/vocabulary#recognizedBy>	<http://www.w3.org/2000/01/rdf-schema#isDefinedBy>	<https://spec.edmcouncil.org/fibo/ontology/FND/PlacesExt/Geopolitical/recognizedBy>
<https://spec.edmcouncil.org/fibo/FND/vocabulary#recognizedBy>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#ObjectProperty>
<https://spec.edmcouncil.org/fibo/SEC/vocabulary#overseenBy>	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/SEC/AboutSEC/SECSpecification>
<https://spec.edmcouncil.org/fibo/SEC/vocabulary#overseenBy>	<http://www.w3.org/2000/01/rdf-schema#subPropertyOf>	<http://www.w3.org/2004/02/skos/core#related>
<https://spec.edmcouncil.org/fibo/SEC/vocabulary#overseenBy>	<http://www.w3.org/2000/01/rdf-schema#label>	"overseen by"@en
<https://spec.edmcouncil.org/fibo/SEC/vocabulary#overseenBy>	<http://www.w3.org/2000/01/rdf-schema#isDefinedBy>	<https://spec.edmcouncil.org/fibo/ontology/SEC/Debt/AssetBacked/CDOs/overseenBy>
<https://spec.edmcouncil.org/fibo/SEC/vocabulary#overseenBy>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#ObjectProperty>
