?concept	?predicat	?object
<https://spec.edmcouncil.org/fibo/SEC/vocabulary#hasPriceAndYieldDayCountConvention>	<http://www.w3.org/2004/02/skos/core#definition>	"indicates the convention used to determine the number of days in a month and days in a year that are counted when performing calculations for yield and price figures"
<https://spec.edmcouncil.org/fibo/SEC/vocabulary#hasPriceAndYieldDayCountConvention>	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/SEC/AboutSEC/SECSpecification>
<https://spec.edmcouncil.org/fibo/SEC/vocabulary#hasPriceAndYieldDayCountConvention>	<http://www.w3.org/2000/01/rdf-schema#subPropertyOf>	<http://www.w3.org/2004/02/skos/core#related>
<https://spec.edmcouncil.org/fibo/SEC/vocabulary#hasPriceAndYieldDayCountConvention>	<http://www.w3.org/2000/01/rdf-schema#isDefinedBy>	<https://spec.edmcouncil.org/fibo/ontology/SEC/Debt/DebtInstruments/hasPriceAndYieldDayCountConvention>
<https://spec.edmcouncil.org/fibo/SEC/vocabulary#hasPriceAndYieldDayCountConvention>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#ObjectProperty>
<https://spec.edmcouncil.org/fibo/BE/vocabulary#isWhollyOwnedBy>	<http://www.w3.org/2004/02/skos/core#definition>	"relates a company to an organization that has 100 percent ownership and control over it"
<https://spec.edmcouncil.org/fibo/BE/vocabulary#isWhollyOwnedBy>	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/BE/AboutBE/BESpecification>
<https://spec.edmcouncil.org/fibo/BE/vocabulary#isWhollyOwnedBy>	<http://www.w3.org/2000/01/rdf-schema#subPropertyOf>	<http://www.w3.org/2004/02/skos/core#related>
<https://spec.edmcouncil.org/fibo/BE/vocabulary#isWhollyOwnedBy>	<http://www.w3.org/2000/01/rdf-schema#label>	"is wholly owned by"
<https://spec.edmcouncil.org/fibo/BE/vocabulary#isWhollyOwnedBy>	<http://www.w3.org/2000/01/rdf-schema#isDefinedBy>	<https://spec.edmcouncil.org/fibo/ontology/BE/OwnershipAndControl/CorporateControl/isWhollyOwnedBy>
<https://spec.edmcouncil.org/fibo/BE/vocabulary#isWhollyOwnedBy>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#ObjectProperty>
<https://spec.edmcouncil.org/fibo/FND/vocabulary#playsRole>	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/FND/AboutFND/FNDSpecification>
<https://spec.edmcouncil.org/fibo/FND/vocabulary#playsRole>	<http://www.w3.org/2000/01/rdf-schema#subPropertyOf>	<http://www.w3.org/2004/02/skos/core#related>
<https://spec.edmcouncil.org/fibo/FND/vocabulary#playsRole>	<http://www.w3.org/2000/01/rdf-schema#isDefinedBy>	<https://spec.edmcouncil.org/fibo/ontology/FND/Parties/Roles/playsRole>
<https://spec.edmcouncil.org/fibo/FND/vocabulary#playsRole>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#ObjectProperty>
<https://spec.edmcouncil.org/fibo/FND/vocabulary#classifies>	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/definitionOrigin>	"Merriam-Webster Dictionary"
<https://spec.edmcouncil.org/fibo/FND/vocabulary#classifies>	<http://www.w3.org/2004/02/skos/core#definition>	"arranges in classes; assigns to a category"
<https://spec.edmcouncil.org/fibo/FND/vocabulary#classifies>	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/FND/AboutFND/FNDSpecification>
<https://spec.edmcouncil.org/fibo/FND/vocabulary#classifies>	<http://www.w3.org/2000/01/rdf-schema#subPropertyOf>	<http://www.w3.org/2004/02/skos/core#related>
<https://spec.edmcouncil.org/fibo/FND/vocabulary#classifies>	<http://www.w3.org/2000/01/rdf-schema#label>	"classifies"
<https://spec.edmcouncil.org/fibo/FND/vocabulary#classifies>	<http://www.w3.org/2000/01/rdf-schema#isDefinedBy>	<https://spec.edmcouncil.org/fibo/ontology/FND/Relations/Relations/classifies>
<https://spec.edmcouncil.org/fibo/FND/vocabulary#classifies>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#ObjectProperty>
<https://spec.edmcouncil.org/fibo/FND/vocabulary#hasBusinessDayAdjustment>	<http://www.w3.org/2004/02/skos/core#definition>	"identifies a convention for adjustment of the business day for handling weekends and holidays"
<https://spec.edmcouncil.org/fibo/FND/vocabulary#hasBusinessDayAdjustment>	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/FND/AboutFND/FNDSpecification>
<https://spec.edmcouncil.org/fibo/FND/vocabulary#hasBusinessDayAdjustment>	<http://www.w3.org/2000/01/rdf-schema#subPropertyOf>	<http://www.w3.org/2004/02/skos/core#related>
<https://spec.edmcouncil.org/fibo/FND/vocabulary#hasBusinessDayAdjustment>	<http://www.w3.org/2000/01/rdf-schema#label>	"has business day adjustment"
